Step,Vehicle_ID,RSU_ID,Signal_Strength
0,0,149720490,0.013416851887312778
1,0,149720490,0.012030077648865531
1,1,6622945799,0.019753341617196482
2,0,149720490,0.010078571482281336
2,1,6622945799,0.016252071499935187
2,2,6151818875,0.019651515724952495
3,0,149720490,0.007796871477318165
3,1,8293291747,0.013770783864097668
3,2,6151818875,0.01596550592269821
3,3,9335184603,0.06423455680572843
4,0,149720490,0.005907065904736577
4,1,8293291747,0.025956965537146635
4,2,6151818875,0.011930158242014944
4,3,9335184603,0.35429161183160546
4,4,149910642,0.01585251672035368
5,0,149720490,0.00450886790121669
5,1,8293291747,0.10909235014383467
5,2,149687146,0.012248595431489913
5,3,9335184603,0.039482009466436596
5,4,149910642,0.013717178227026741
5,5,149905258,0.015894119996527154
6,0,149720490,0.003491792613049873
6,1,8293291747,0.041953458884158294
6,2,149687146,0.0233569968082172
6,3,2512209860,0.2726592761815427
6,4,149910642,0.010971055385413622
6,5,149905258,0.013500029015754436
6,6,150017640,0.034507647097516976
7,0,1278964758,0.0029549872328104407
7,1,2512209817,0.027865203496714577
7,2,149687146,0.09024312279587345
7,3,2512209856,0.08049627406603804
7,4,149910642,0.008616978305938099
7,5,149905258,0.01057894388967019
7,6,150017640,0.025544950017358653
7,7,149734765,0.0158412301124974
8,0,1278964758,0.002588335067133434
8,1,2512209817,0.020347387370459814
8,2,149687146,0.01480082763305769
8,3,2512209853,0.24364468723876964
8,4,149910642,0.006513749998756518
8,5,149905258,0.008016191932065231
8,6,150017640,0.017413128365717685
8,7,149734765,0.014156080908793545
8,8,336014965,0.10781601387923181
9,0,1278964758,0.0022692243913950577
9,1,2512209817,0.012200474307707885
9,2,1278964716,0.010869839345632825
9,3,2512209834,0.1666624880493119
9,4,149910642,0.0049660965869359796
9,5,149905258,0.005954788078422689
9,6,150017640,0.011410503556611403
9,7,149734765,0.011233773336330828
9,8,336014965,0.07783975109751368
9,9,150015600,0.014712558186508655
10,0,1278964758,0.0020064447925063895
10,1,8293291751,0.011310553709447092
10,10,149942165,0.015837926666657603
10,2,1278964716,0.037042291668662644
10,3,9335184613,0.028290020904170456
10,4,149910642,0.003868137742817736
10,5,149905258,0.004568532358024547
10,6,150017640,0.007745263844307577
10,7,149734765,0.008357934680803997
10,8,336014965,0.03695131073131359
10,9,150015600,0.01341459863069125
11,0,1278964758,0.0017875739828669026
11,1,8293291751,0.028266833031678276
11,10,149942165,0.013459335885157329
11,11,150080163,0.015838434076100742
11,2,1278964716,0.022923481790489454
11,3,9335184613,0.02533236345371584
11,4,149910642,0.0030680634162624796
11,5,149905258,0.003695977604168686
11,6,149869198,0.010144358792850921
11,7,1754696082,0.009021601977180368
11,8,9335184588,0.027316346870322937
11,9,150015600,0.011295429207164857
12,0,149641035,0.0018812985643873528
12,1,149723185,0.025099295508213177
12,10,149942165,0.010224448893874158
12,11,150080163,0.013543176278231229
12,12,6665430096,0.018730912992510538
12,2,1278964716,0.009351504248671347
12,3,149860367,0.020246393751138535
12,4,149910642,0.0025394831208835895
12,5,149905258,0.0031030177259373003
12,6,149869198,0.017881206909726704
12,7,1754696082,0.01616612556229204
12,8,9335184588,0.40833334921771147
12,9,150015600,0.009107202306377533
13,0,149641035,0.0021771974264427406
13,1,149723185,0.009161098962169495
13,10,149942165,0.007811553223343417
13,11,150080163,0.01097804581126439
13,12,6665430096,0.017549060278637903
13,13,8178011444,0.02299993882178715
13,2,149931766,0.014120670374272145
13,3,2512209817,0.0319314504606789
13,4,149910642,0.002178688178778406
13,5,149905258,0.0026656541395405037
13,6,149869198,0.027884268279916427
13,7,1754696082,0.10861380908100242
13,8,2512209846,0.07312464398010078
13,9,150015600,0.006952095843510393
14,0,149641035,0.002571824396497674
14,1,149860365,0.008592895976849832
14,10,1278964994,0.010528957340428927
14,11,150080163,0.008459724747837868
14,12,6665430096,0.013466019292202522
14,13,8178011444,0.018781203149542264
14,14,8882874478,0.08453049088260371
14,2,149931766,0.02921231903706525
14,3,8293291751,0.01118466965888612
14,4,150041972,0.002337182442292324
14,5,8646837685,0.0027674949643836156
14,6,149869198,0.03559823156626989
14,7,1754696082,0.017282979170753075
14,8,2512209858,0.06005858436893417
14,9,1271333941,0.008273961174492786
15,0,149641035,0.003156589831444409
15,1,149860365,0.03180784356337009
15,10,1278964994,0.01990514727654958
15,11,1754696161,0.00900120732957078
15,12,6665430096,0.00997462789145304
15,13,8178011444,0.013510787196348285
15,14,8882874478,0.05240552694976931
15,15,149860318,0.015826333985858157
15,2,149931766,0.13590909229030887
15,3,149723185,0.030860669453763253
15,4,150041972,0.002796972825361623
15,5,149905257,0.0029614626302066596
15,6,149869198,0.024071983433906582
15,7,1754696082,0.008839748175354786
15,8,2512209860,0.04682725038049515
15,9,1271333941,0.015534090320586367
16,0,149641035,0.004095171667428138
